ID,ExpertLevel,Complexity,30sTnterval,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
026,0,1,300,300.1814,2A,5A,1,0.034199999999998454,1.252211358498676,,
026,0,1,300,300.382,5A,5B,1,0.066599999999994,1.9343277454864805,,
026,0,1,300,300.9146,5B,6A,1,0.0999999999999659,2.8339421717161066,,
026,0,1,300,301.4482,6A,5B,1,0.06600000000003092,10.25404878012706,,
026,0,1,300,301.615,5B,PB,1,0.39699999999999136,125.74690821827302,,
026,0,1,300,306.4072,PB,7A,1,0.2966999999999871,95.89835702213594,,
026,0,1,300,306.7279,7A,2A,1,0.15620000000001255,14.784552458208392,,
026,0,1,300,306.9354,2A,5A,1,0.07729999999997972,5.3545222860262,,
026,0,1,300,307.0645,5A,2B,1,0.026799999999980173,1.1069067129546273,,
026,0,1,300,307.2887,2B,9A,1,0.19920000000001892,18.108040577769415,,
026,0,1,300,307.5212,9A,6A,1,0.033599999999978536,2.042286340152579,,
026,0,1,300,308.2208,6A,6B,1,0.033299999999997,0.10795203025057276,,
026,0,1,300,308.5206,6B,6A,1,0.03370000000001028,0.6095989484582418,,
026,0,1,300,308.7206,6A,4A,1,0.422300000000007,67.68913074882298,,
026,0,1,300,310.1758,4A,7A,1,0.0332000000000221,2.121969406942476,,
026,0,1,300,310.309,7A,6A,1,0.2005999999999517,34.4357585342853,,
026,0,1,300,311.109,6A,9A,1,0.03300000000001546,0.23710804183489032,,
026,0,1,300,311.942,9A,2B,1,0.03280000000000882,0.35244624042894657,,
026,0,1,300,312.1421,2B,5A,1,0.06619999999998072,4.570870331543826,,
026,0,1,300,312.3752,5A,2A,1,0.03309999999999036,2.0494752412268014,,
026,0,1,300,312.5753,2A,5A,1,0.03319999999996526,1.9352995999897349,,
026,0,1,300,312.8412,5A,7A,1,0.10039999999997917,9.953251154456947,,
026,0,1,300,312.9748,7A,PB,1,0.464999999999975,107.94838381774403,,
026,0,1,300,316.4109,PB,2A,1,0.4078999999999837,108.71738778192002,,
026,0,1,300,316.873,2A,2B,1,0.054300000000012005,4.9138602567701914,,
026,0,1,300,317.1396,2B,5B,1,0.03340000000002874,0.01830838947441471,,
026,0,1,300,317.3395,5B,6B,1,0.4662000000000148,21.931032701701483,,
026,0,1,300,318.0387,6B,3A,1,0.06700000000000728,2.0245666374453677,,
026,0,1,300,318.4502,3A,PB,1,0.7538999999999874,180.12029011685684,,
026,0,1,300,322.0834,PB,5A,1,0.5810999999999922,130.20397909293396,,
026,0,1,300,322.7956,5A,5B,1,0.06400000000002137,5.273157572065843,,
026,0,1,300,325.9916,5B,5A,1,0.06630000000001246,2.7823634070863963,,
026,0,1,300,326.2245,5A,5B,1,0.06690000000003238,0.09601880094588966,,
026,0,1,300,326.5573,5B,6A,1,0.10090000000002419,7.055470424493933,,
026,0,1,300,329.1566,6A,4B,1,0.2995999999999981,37.89198486963518,,
026,0,1,300,329.6561,4B,7A,1,0.03340000000002874,0.3265179818592969,,
