ID,ExpertLevel,Complexity,30sInterval,duration_start,Node,AOI_duration,clicked,pupil_diameter,controller_duration_on_aoi,distance_to_aoi,seating_row_aoi,seating_loc_aoi,active_disruption,passive_disruption,duration_time_until_first_fixation
007,0,1,450,450.3133,PB,1.5544999999999618,0,-0.2193249394271644,0,2.160694286676333,0.0,0.0,0,0,0.31330000000002656
007,0,1,450,452.5924,2B,0.0665000000000191,0,0.05449737091766327,0,3.3311704403566678,1.0,0.0,0,0,2.592399999999998
007,0,1,450,452.6589,5A,0.1003000000000042,0,0.1296332042509966,0,5.20239447778345,2.0,0.0,0,0,2.658900000000017
007,0,1,450,452.7592,2B,0.1995999999999753,0,0.028495454250996494,0,3.268583802813442,1.0,0.0,0,0,2.759200000000021
007,0,1,450,452.9588,5B,0.1999999999999886,0,-0.09684312908233679,0,5.032788322259839,2.0,0.0,0,0,2.9587999999999965
007,0,1,450,453.192,7B,0.4669000000000096,0,-0.013120819558527317,0,7.970326205634824,3.0,-1.0,0,0,3.1920000000000073
007,0,1,450,454.0259,2B,0.0998000000000161,0,0.010090704250996563,0,3.4337516791655376,1.0,0.0,0,0,4.025899999999979
007,0,1,450,454.2585,3A,0.2329999999999472,0,-0.037314129082336826,0,3.4706070967288514,1.0,1.0,0,1,4.258500000000026
007,0,1,450,454.6251,6A,0.0665000000000191,0,0.039891120917663114,0,5.2200445715591,2.0,1.0,1,0,4.625099999999975
007,0,1,450,455.8525,PB,3.6119999999999663,0,-0.13407065426219292,0,2.165703120194923,0.0,0.0,0,0,5.8525000000000205
007,0,1,450,459.7862,2A,0.216700000000003,0,-0.28401675408233684,0,4.623015507774371,1.0,0.0,0,0,9.786200000000008
007,0,1,450,460.0029,2B,0.285699999999963,0,-0.006583795749003511,0,3.728476147591671,1.0,0.0,0,0,10.002900000000011
007,0,1,450,460.2886,5B,0.199100000000044,0,0.038452954250996485,0,5.058554344693468,2.0,0.0,0,0,10.288599999999974
007,0,1,450,460.6539,9A,0.233099999999979,0,-0.03159205765376538,0,6.858322753735641,3.0,1.0,1,0,10.653900000000021
007,0,1,450,460.9208,5B,0.2663000000000011,0,0.004917995917663176,0,5.081947986864442,2.0,0.0,0,0,10.920799999999986
007,0,1,450,461.2211,7B,0.1998000000000388,0,0.11047078758432989,0,7.650150928971018,3.0,-1.0,0,0,11.221099999999979
007,0,1,450,461.9533,1B,0.066599999999994,0,0.11971787091766328,0,4.9531474247688525,1.0,-1.0,0,0,11.953300000000013
007,0,1,450,462.0863,1A,0.200300000000027,0,0.20529537091766312,0,5.449574734887691,1.0,-1.0,0,0,12.086299999999994
007,0,1,450,462.3532,1B,0.2998999999999796,0,0.14949925980655207,0,5.572147487291767,1.0,-1.0,0,0,12.353200000000015
007,0,1,450,463.0535,5B,0.2662000000000262,0,0.043058370917663125,0,5.056763423678625,2.0,0.0,0,0,13.053499999999985
007,0,1,450,463.3197,2B,0.234199999999987,0,0.1502154423462346,0,3.3239117815250125,1.0,0.0,0,0,13.319700000000012
007,0,1,450,463.5539,6A,0.0658000000000242,0,0.0752951209176631,0,5.163473613622022,2.0,1.0,1,0,13.553899999999999
007,0,1,450,463.7531,9A,0.065999999999974,0,0.03548912091766321,0,6.920668718940738,3.0,1.0,1,0,13.753100000000018
007,0,1,450,463.8857,6B,0.4000000000000341,0,0.024977537584329818,0,5.382945126411646,2.0,1.0,1,0,13.885699999999986
007,0,1,450,464.7184,8A,0.2000000000000454,0,0.1971621209176632,0,6.841046997372634,3.0,0.0,0,0,14.718399999999974
007,0,1,450,464.9184,5A,0.3670999999999935,0,0.1865481436449359,0,5.200921632139831,2.0,0.0,0,0,14.91840000000002
007,0,1,450,465.3191,7B,0.2331000000000358,0,0.21477644234623458,0,7.493337758716945,3.0,-1.0,0,0,15.319099999999992
007,0,1,450,465.6187,4B,0.2330000000000041,0,0.21285365663194886,0,6.040760182733,2.0,-1.0,1,0,15.61869999999999
007,0,1,450,466.2176,PB,0.793200000000013,1,-0.09285185635506411,0,2.1122014930728223,0.0,0.0,0,0,16.217600000000004
007,0,1,450,471.1609,5A,0.5664999999999623,0,-0.0054355996705721015,0,5.311461534623582,2.0,0.0,0,0,21.160900000000026
007,0,1,450,472.3379,PB,1.671699999999987,0,-0.28094291814483685,0,1.9487831807064722,0.0,0.0,0,0,22.33789999999999
007,0,1,450,474.7594,2B,0.1005999999999858,0,0.11930820425099646,0,3.4307092969805755,1.0,0.0,0,0,24.759400000000028
007,0,1,450,474.9271,2A,0.1997000000000071,0,0.26979662091766315,0,3.6618625729827414,1.0,0.0,0,0,24.927099999999996
007,0,1,450,475.1601,4B,0.3331999999999766,0,0.06012423091766315,0,5.930876907677462,2.0,-1.0,1,0,25.1601
007,0,1,450,478.6253,5A,0.2333000000000424,0,-0.028007200510908308,0,5.036657908253436,2.0,0.0,0,0,28.62529999999998
007,0,1,450,478.925,4A,0.2332999999999856,0,0.012799228060520315,0,6.3120984876774315,2.0,-1.0,1,0,28.92500000000001
007,0,1,450,479.7586,1B,0.3007000000000062,0,0.1492128709176632,0,4.830473629153544,1.0,-1.0,0,0,29.7586
