ID,ExpertLevel,Complexity,30sTnterval,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
026,0,0,230,234.9862,PB,8A,1,0.4895999999999958,102.58321899102005,,
026,0,0,230,235.7087,8A,9A,1,0.09960000000000946,4.2695200245472495,,
026,0,0,230,236.075,9A,6A,1,0.03360000000000696,0.8770095342150412,,
026,0,0,230,236.3081,6A,6B,1,0.10020000000000095,1.4051801442201075,,
026,0,0,230,236.5748,6B,6A,1,0.06629999999998404,0.9500622184751233,,
026,0,0,230,237.4079,6A,9A,1,0.033499999999975216,0.42088810704016044,,
026,0,0,230,237.5081,9A,5B,1,0.09949999999997772,3.5987714860968953,,
026,0,0,230,237.8079,5B,8A,1,0.06620000000000914,2.0802797592906064,,
026,0,0,230,238.008,8A,7A,1,0.13329999999999131,6.195449136229211,,
026,0,0,230,238.3073,7A,5B,1,0.3001000000000147,17.02436714139749,,
026,0,0,230,240.1068,5B,8B,1,0.03319999999999368,0.39383330579122955,,
026,0,0,230,241.2953,8B,PB,1,0.6325999999999965,83.91117522895783,,
026,0,0,230,243.4326,PB,5B,1,0.33910000000000196,89.2924307069054,,
026,0,0,230,243.8719,5B,8B,1,0.033299999999997,0.6477493918806321,,
026,0,0,230,250.6478,PB,4B,1,0.2504000000000133,72.52417024836386,,
026,0,0,230,250.9249,4B,7A,1,0.09950000000000614,2.1883544560279873,,
026,0,0,230,251.0912,7A,4A,1,0.06690000000000396,2.7873078647310052,,
026,0,0,230,251.4904,4A,7B,1,0.2670999999999992,5.080180638945684,,
026,0,0,230,251.9243,7B,3A,1,0.16689999999999827,44.046849018161645,,
026,0,0,230,252.323,3A,6B,1,0.133199999999988,4.293774214155199,,
026,0,0,230,252.6227,6B,6A,1,0.033599999999978536,2.3956183626449707,,
026,0,0,230,252.9232,6A,5B,1,0.13509999999999422,8.20687439225243,,
026,0,0,230,253.257,5B,5A,1,0.06629999999998404,1.3908162237480148,,
026,0,0,230,253.6573,5A,2A,1,0.032399999999995543,0.37096715745856557,,
026,0,0,230,253.8571,2A,4B,1,0.06569999999999254,4.329169911791983,,
026,0,0,230,254.1225,4B,4A,1,0.3996999999999957,1.8846380178994622,,
026,0,0,230,254.5566,4A,5A,1,0.1325999999999965,17.210216059916608,,
026,0,0,230,254.7891,5A,8A,1,0.03340000000000032,1.0716849220278384,,
026,0,0,230,254.8563,8A,5B,1,0.03289999999998372,0.7158519720842031,,
026,0,0,230,255.1559,5B,6A,1,0.26619999999999777,10.029145399282935,,
026,0,0,230,255.6221,6A,9A,1,0.03300000000001546,0.4938652466205298,,
026,0,0,230,255.7558,9A,9B,1,0.09970000000001278,0.030053487985327365,,
026,0,0,230,256.0551,9B,8A,1,0.7998000000000047,24.1547759153243,,
026,0,0,230,257.3547,8A,5B,1,0.0332000000000221,0.11046930862004167,,
026,0,0,230,258.2543,5B,8A,1,0.10019999999997253,0.5892170634027565,,
026,0,0,230,258.5542,8A,5B,1,0.03380000000004202,1.2748448859108734,,
026,0,0,230,258.6212,5B,PB,1,0.3324000000000069,94.67842857919788,,
