ID,ExpertLevel,Complexity,30sTnterval,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
010,0,0,220,225.3121,4B,2A,1,0.50030000000001,5.653961121970326,,
010,0,0,220,226.0117,2A,7B,1,0.03360000000000696,0.5972401730094177,,
010,0,0,220,226.112,7B,1A,1,0.43319999999999936,9.917662272150423,,
010,0,0,220,226.912,1A,5A,1,0.4333000000000027,26.709105479892116,,
010,0,0,220,227.4119,5A,2B,1,0.026899999999983493,1.061350341603685,,
010,0,0,220,227.6337,2B,8B,1,0.10049999999998249,6.068338907866679,,
010,0,0,220,227.8664,8B,6A,1,0.10149999999998727,3.522412126678565,,
010,0,0,220,228.3338,6A,8A,1,0.23250000000001592,13.986364997095723,,
010,0,0,220,228.6667,8A,2B,1,0.06740000000002055,4.545480280155594,,
010,0,0,220,228.9661,2B,2A,1,0.0671999999999855,1.1783032439370515,,
010,0,0,220,229.1994,2A,PB,1,0.5997000000000128,80.09266205899308,,
010,0,0,220,236.6957,PB,4A,1,0.24800000000001887,50.16169128410082,,
010,0,0,220,237.0085,4A,4B,1,0.11109999999999332,12.256526171502887,,
010,0,0,220,237.1405,4B,5A,1,0.05740000000000123,4.51082762496582,,
010,0,0,220,237.3956,5A,2B,1,0.03350000000000364,1.5715121316009757,,
010,0,0,220,237.6631,2B,6A,1,0.1997000000000071,16.075915418207757,,
010,0,0,220,237.9288,6A,9B,1,0.03440000000000509,1.1972619645535723,,
010,0,0,220,238.2616,9B,3A,1,0.16680000000002337,0.7952947004840354,,
010,0,0,220,238.5282,3A,9A,1,0.4002000000000123,8.663996449217787,,
010,0,0,220,239.0283,9A,7A,1,0.4335000000000093,28.015025377726033,,
010,0,0,220,239.7281,7A,1B,1,0.13309999999998468,4.885448207057628,,
010,0,0,220,239.9277,1B,1A,1,0.4662000000000148,7.912713035413795,,
010,0,0,220,240.7607,1A,PB,1,0.8340999999999781,58.02139541790214,,
010,0,0,220,242.438,PB,5A,1,0.6781000000000006,76.79380139793307,,
010,0,0,220,243.1492,5A,2B,1,0.16620000000000346,6.298055199744679,,
010,0,0,220,244.2484,2B,4A,1,0.29980000000000473,31.194367817354284,,
010,0,0,220,244.6151,4A,1A,1,0.23279999999999745,0.9984213325797242,,
010,0,0,220,244.9481,1A,4B,1,0.6670999999999765,8.747174383495064,,
010,0,0,220,245.8479,4B,2A,1,0.0660999999999774,0.5599800893315177,,
010,0,0,220,246.3806,2A,5A,1,0.10050000000001091,2.79980079699315,,
010,0,0,220,247.0812,5A,5B,1,0.06669999999999732,1.8606748116632836,,
010,0,0,220,247.5141,5B,6A,1,0.2331999999999823,9.329057989673995,,
010,0,0,220,248.0807,6A,5A,1,0.30009999999998627,24.578475537186765,,
010,0,0,220,248.4136,5A,2A,1,0.06739999999999213,5.946978112975145,,
010,0,0,220,248.6134,2A,7A,1,0.03340000000000032,0.03619568218809377,,
010,0,0,220,248.7129,7A,2A,1,0.06690000000000396,0.6143004729782362,,
010,0,0,220,249.4133,2A,7A,1,0.03300000000001546,0.09716806998936534,,
010,0,0,220,249.4795,7A,2A,1,0.033299999999997,0.08036713952213859,,
