ID,ExpertLevel,Complexity,30sTnterval,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
030,0,0,10,13.57222,PB,2A,1,0.42313000000000045,67.67873367888998,,
030,0,0,10,14.10482,2A,2B,1,0.08924000000000021,3.9197585936785835,,
030,0,0,10,14.32709,2B,5B,1,0.03318999999999939,1.485222491657737,,
030,0,0,10,14.76132,5B,3A,1,0.3985500000000002,11.814496572210647,,
030,0,0,10,15.2597,3A,6A,1,0.1332899999999988,3.562530555378613,,
030,0,0,10,15.42635,6A,9A,1,0.09988000000000063,0.043034431085537506,,
030,0,0,10,15.75967,9A,6A,1,0.034110000000000085,0.4226849508039834,,
030,0,0,10,16.10564,6A,8A,1,0.12039000000000044,12.199910706581433,,
030,0,0,10,16.26014,8A,4B,1,0.2670199999999987,15.049341314734262,,
030,0,0,10,16.85932,4B,1A,1,0.46647000000000105,8.205486280085431,,
030,0,0,10,17.59191,1A,PB,1,0.5017000000000031,57.600041422248076,,
030,0,0,10,18.93641,PB,8A,1,0.9020100000000006,95.101659722016,,
030,0,0,10,19.90557,8A,5B,1,0.03125,0.006246807448825109,,
030,0,0,10,20.13651,5B,2A,1,0.23481999999999914,10.601218908008555,,
030,0,0,10,20.53672,2A,PB,1,0.4869400000000006,63.10794020420791,,
030,0,0,10,22.35708,PB,2B,1,0.45486000000000004,67.83306313908172,,
030,0,0,10,23.04539,2B,5B,1,0.033149999999999125,0.6655247120477625,,
030,0,0,10,23.44523,5B,8B,1,0.033210000000000406,0.6239202145464056,,
030,0,0,10,23.87841,8B,4B,1,0.10060000000000002,2.21375098841348,,
030,0,0,10,24.2787,4B,2A,1,0.0666000000000011,2.4084907688255903,,
030,0,0,10,24.51172,2A,9B,1,0.10097000000000023,15.552816533367043,,
030,0,0,10,24.87732,9B,3A,1,0.03384999999999749,0.030726258550412666,,
030,0,0,10,25.04408,3A,6A,1,0.033670000000000755,0.8657687051752552,,
030,0,0,10,25.27742,6A,9A,1,0.033970000000000056,0.7771158995371654,,
030,0,0,10,25.47738,9A,PB,1,0.6659800000000011,103.49596466714696,,
030,0,0,10,27.84306,PB,2B,1,0.43355999999999995,67.25843192545764,,
030,0,0,10,28.50934,2B,PB,1,0.365829999999999,63.0988494319421,,
030,0,0,10,32.40726,PB,5B,1,0.5792999999999964,70.4099609524983,,
030,0,0,10,33.21949,5B,9B,1,0.06681999999999988,5.150292177741472,,
030,0,0,10,33.31978,9B,6A,1,0.19984999999999786,5.218950168328272,,
030,0,0,10,33.95313,6A,5B,1,0.06622000000000128,1.667504897772766,,
030,0,0,10,34.25294,5B,2B,1,0.03423000000000087,1.6518439946946692,,
030,0,0,10,34.48616,2B,2A,1,0.03372999999999848,1.3873595899344089,,
