ID,ExpertLevel,Complexity,30sTnterval,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
042,1,0,550,550.2674,PB,1A,1,0.24430000000006658,39.807757706310504,,
042,1,0,550,550.5344,1A,5B,1,0.6902999999999793,39.81834493326633,,
042,1,0,550,551.8574,5B,8A,1,0.033599999999978536,0.756522869344618,,
042,1,0,550,551.9244,8A,5B,1,0.03290000000004056,0.839312791200566,,
042,1,0,550,551.9907,5B,8A,1,0.03350000000000364,0.5719672636636588,,
042,1,0,550,558.3434,8A,PB,1,0.49900000000002365,87.52215640059936,,
042,1,0,550,560.6213,PB,4B,1,0.7551999999999452,66.45447252115002,,
042,1,0,550,561.4042,4B,7A,1,0.055000000000063665,6.313408555333325,,
042,1,0,550,561.617,7A,5B,1,0.05330000000003565,2.140159675858108,,
042,1,0,550,562.0974,5B,9A,1,0.0665000000000191,3.218723440376677,,
042,1,0,550,562.4304,9A,6A,1,0.03330000000005384,0.20664577526264527,,
042,1,0,550,562.4969,6A,9A,1,0.03330000000005384,1.1873746260812001,,
042,1,0,550,562.9633,9A,9B,1,0.16669999999999163,0.4119206490286702,,
042,1,0,550,577.7128,9B,5A,1,0.1671000000000049,15.631933280217195,,
042,1,0,550,577.9466,5A,7B,1,0.06600000000003092,4.858392947583916,,
042,1,0,550,578.1467,7B,7A,1,0.19899999999995543,0.9580584998862989,,
042,1,0,550,578.512,7A,PB,1,0.36590000000001055,59.8688428404694,,
