ID,condition,start_interval,start_transition,Source,Target,Weight,trans_duration,trans_amplitude,head_rotation,table_switched,row_switched
038,E,270,270.0499,7A,PB,1,1.1528000000000134,,,,
038,E,270,274.6006,PB,9A,1,0.8231000000000108,,,,
038,E,270,275.4237,9A,5A,1,0.6995999999999754,,,,
038,E,270,276.3241,5A,7A,1,0.09940000000000282,,,,
038,E,270,276.5571,7A,5A,1,0.03289999999998372,,,,
038,E,270,276.59,5A,5B,1,0.36650000000003047,,,,
038,E,270,276.9565,5B,8B,1,0.06689999999997553,,,,
038,E,270,282.8004,8B,6A,1,0.066599999999994,,,,
038,E,270,283.1994,6A,PB,1,0.499499999999955,,,,
038,E,270,286.1651,PB,7A,1,0.4259000000000128,,,,
038,E,270,286.591,7A,7B,1,0.18619999999998527,,,,
038,E,270,286.7772,7B,7A,1,0.17509999999998627,,,,
038,E,270,287.0855,7A,4B,1,0.19969999999995025,,,,
038,E,270,287.3182,4B,1B,1,0.26659999999998263,,,,
038,E,270,289.8195,1B,1A,1,0.10379999999997835,,,,
038,E,270,289.9494,1A,1B,1,0.10609999999996944,,,,
038,E,270,290.3725,1B,PB,1,0.2330000000000041,,,,
038,E,270,292.079,PB,5B,1,0.4742999999999711,,,,
038,E,270,292.7079,5B,8B,1,0.02760000000000673,,,,
038,E,270,292.7355,8B,5B,1,0.02339999999998099,,,,
038,E,270,292.7589,5B,8B,1,0.0261000000000422,,,,
038,E,270,292.8714,8B,PB,1,0.8992000000000075,,,,
038,E,270,297.4325,PB,9A,1,0.5495999999999981,,,,
038,E,270,298.2498,9A,5A,1,0.3654000000000224,,,,
