ID,ExpertLevel,Complexity,30sInterval,duration_start,Node,AOI_duration,clicked,pupil_diameter,click_duration?,distance_to_aoi,controller_direction(pointing)_angle,controller_duration_on_AOI,duration_time_until_first fixation
035,1,0,600,600.025,2A,0.3673999999999751,0,0.42284844531692567,,,,,
035,1,0,600,600.7574,8A,0.3333999999999832,0,0.3065173897613702,,,,,
035,1,0,600,601.0908,5A,0.1674000000000433,0,0.2032279897613702,,,,,
035,1,0,600,601.4584,2B,1.3655999999999722,0,0.376926426346736,,,,,
035,1,0,600,602.924,7A,0.2332999999999856,0,0.3372931119835924,,,,,
035,1,0,600,603.3898,1B,0.2663000000000011,0,0.30229770226137015,,,,,
035,1,0,600,604.0885,PB,0.7420000000000755,1,-0.2749260477386299,,,,,
035,1,0,600,608.8136,5B,0.1710000000000491,0,-0.10842246738148696,,,,,
035,1,0,600,609.1995,6A,0.5006000000000768,0,0.06698875642803682,,,,,
035,1,0,600,609.7001,6B,0.2995999999999412,0,0.1884072230947035,,,,,
035,1,0,600,610.0325,6A,0.6381999999999834,0,0.2513343497613702,,,,,
035,1,0,600,611.2317,PB,1.7271999999999252,0,-0.2132393708020101,,,,,
035,1,0,600,613.2588,4B,0.2777000000000953,0,-0.1383145602386298,,,,,
035,1,0,600,613.5365,2A,0.1963999999999259,0,-0.02870296738148692,,,,,
035,1,0,600,614.2509,PB,2.014099999999985,1,-0.20999915690529647,,,,,
035,1,0,600,616.5759,2A,0.0842999999999847,0,-0.16497944357196323,,,,,
035,1,0,600,616.6887,2B,0.1105000000000018,0,-0.12588398523862981,,,,,
035,1,0,600,616.7992,5B,0.3181999999999334,0,-0.033428882965902566,,,,,
035,1,0,600,617.1174,8B,0.6333000000000766,0,0.03976507397189646,,,,,
035,1,0,600,617.8506,7A,0.1662999999999783,0,0.11217748976137014,,,,,
035,1,0,600,618.3834,1A,0.2001999999999952,0,0.09465263976137013,,,,,
035,1,0,600,618.6169,4A,0.2120999999999639,0,0.1438467469042273,,,,,
035,1,0,600,618.9752,8A,0.1090000000000372,0,0.18390751476137018,,,,,
035,1,0,600,619.0842,5B,0.405999999999949,0,0.2790223183327987,,,,,
035,1,0,600,619.4902,8B,1.1270000000000664,1,0.28294697799666424,,,,,
035,1,0,600,621.1497,9A,0.1332999999999629,0,0.2914878897613701,,,,,
035,1,0,600,621.283,6A,0.434099999999944,0,0.19600892822290866,,,,,
035,1,0,600,621.8905,8B,0.1415000000000645,0,0.21926988976137013,,,,,
035,1,0,600,622.7584,PB,2.317999999999984,1,-0.3365021340481536,,,,,
035,1,0,600,625.4601,2A,0.2662000000000262,0,-0.1269749991275187,,,,,
035,1,0,600,625.7263,2B,0.5757999999999583,0,0.01517712660347543,,,,,
035,1,0,600,626.3021,2A,0.2667000000000143,0,0.1577520772613702,,,,,
035,1,0,600,626.6694,8A,0.0996000000000094,0,0.2008533272613702,,,,,
035,1,0,600,627.0351,5B,0.2337999999999738,0,0.17220410404708447,,,,,
035,1,0,600,627.3017,6A,0.0665000000000191,0,0.22969351476137018,,,,,
035,1,0,600,627.801,3B,0.1999999999999318,0,0.2569908064280368,,,,,
035,1,0,600,628.001,3A,0.4769999999999754,0,0.2932694666844471,,,,,
035,1,0,600,629.4471,9A,0.2987000000000535,0,0.37246977865025904,,,,,
035,1,0,600,629.7794,5B,0.1987000000000307,0,0.3103012230947035,,,,,
