ID,condition,start_interval,start_transition,Source,Target,Weight,trans_duration,trans_amplitude,head_rotation,table_switched,row_switched
019,E,210,210.2417,PB,4A,1,0.5560999999999865,,,,
019,E,210,210.9635,4A,PB,1,0.4660999999999831,,,,
019,E,210,215.8177,PB,2B,1,0.5432999999999879,,,,
019,E,210,216.4285,2B,8A,1,0.03340000000000032,,,,
019,E,210,216.4619,8A,2B,1,0.0333999999999719,,,,
019,E,210,216.4953,2B,8A,1,0.03310000000001878,,,,
019,E,210,216.5622,8A,2B,1,0.0327000000000055,,,,
019,E,210,216.5949,2B,5B,1,0.033299999999997,,,,
019,E,210,217.1282,5B,8B,1,0.16630000000000678,,,,
019,E,210,217.2945,8B,8A,1,0.23279999999999745,,,,
019,E,210,217.5273,8A,PB,1,0.5001000000000033,,,,
019,E,210,220.481,PB,5A,1,0.42789999999999395,,,,
019,E,210,220.951,5A,5B,1,0.09759999999999991,,,,
019,E,210,221.2485,5B,8B,1,0.033699999999981856,,,,
019,E,210,223.6818,8B,5B,1,0.03340000000000032,,,,
019,E,210,223.7152,5B,4B,1,0.0660000000000025,,,,
019,E,210,223.8476,4B,2A,1,0.13300000000000978,,,,
019,E,210,224.0465,2A,7A,1,0.034099999999995134,,,,
019,E,210,224.0806,7A,2A,1,0.0327000000000055,,,,
019,E,210,224.1133,2A,PB,1,0.36549999999999727,,,,
019,E,210,228.2673,PB,6A,1,1.0105000000000075,,,,
019,E,210,229.5782,6A,9B,1,0.03340000000000032,,,,
019,E,210,230.0775,9B,5B,1,0.8341000000000065,,,,
019,E,210,230.9116,5B,PB,1,0.4983000000000004,,,,
019,E,210,234.6751,PB,2B,1,0.5677000000000021,,,,
019,E,210,235.5034,2B,8A,1,0.02580000000000382,,,,
019,E,210,235.5768,8A,5B,1,0.025000000000005684,,,,
019,E,210,235.6768,5B,8A,1,0.024400000000014188,,,,
019,E,210,235.7258,8A,5B,1,0.021700000000009823,,,,
019,E,210,235.822,5B,8A,1,0.03200000000001069,,,,
019,E,210,235.854,8A,9A,1,0.2002999999999986,,,,
019,E,210,236.0543,9A,3A,1,0.0327999999999804,,,,
019,E,210,236.3539,3A,6B,1,0.033299999999997,,,,
019,E,210,236.687,6B,3B,1,0.06669999999999732,,,,
019,E,210,237.2966,3B,6B,1,0.06229999999999336,,,,
019,E,210,237.5872,6B,9B,1,0.03290000000001214,,,,
019,E,210,237.8542,9B,7A,1,0.29930000000001655,,,,
019,E,210,238.2194,7A,4B,1,0.16689999999999827,,,,
019,E,210,238.3863,4B,4A,1,0.10089999999999577,,,,
019,E,210,238.6867,4A,7A,1,0.09969999999998436,,,,
019,E,210,239.0717,7A,7B,1,0.046899999999993724,,,,
019,E,210,239.3858,7B,7A,1,0.09880000000001132,,,,
019,E,210,239.6737,7A,4A,1,0.03290000000001214,,,,
019,E,210,239.7066,4A,1B,1,0.20009999999999195,,,,
