ID,condition,start_interval,start_transition,Node,AOI_duration,clicked,pupil_diameter,active_disruption,passive_disruption
037,1,330,330.0776,4A,0.1669999999999731,0,-0.1204721401973136,,
037,1,330,331.2774,1A,0.0330999999999903,0,0.12573364185396843,,
037,1,330,331.744,5A,0.0331999999999652,0,0.12439452646935312,,
037,1,330,331.8106,2B,0.0330999999999903,0,0.10268552646935314,,
037,1,330,331.9434,9B,0.0337999999999851,0,0.4301540264693531,,
037,1,330,332.8096,6B,0.3343999999999596,0,0.2009860264693531,,
037,1,330,333.4982,3A,0.0246000000000208,0,0.22881952646935302,,
037,1,330,333.5723,9B,0.0253999999999905,0,0.1522305264693531,,
037,1,330,334.1979,6A,0.0337000000000102,0,0.462693526469353,,
037,1,330,335.0645,9A,0.0328999999999837,0,0.6904915264693532,,
037,1,330,335.5971,5B,0.0337999999999851,0,0.6922638181360198,,
037,1,330,335.7972,8A,0.0336000000000353,0,0.6795745264693531,,
037,1,330,335.8308,5A,0.0333999999999719,0,0.6109095264693529,,
037,1,330,335.8642,8A,0.0332000000000221,0,0.44183452646935284,,
037,1,330,335.8974,5A,0.033299999999997,0,0.24391252646935313,,
037,1,330,336.031,8A,0.1333999999999946,0,0.5848591514693531,,
037,1,330,336.1647,5A,0.033299999999997,0,0.28195785980268634,,
037,1,330,336.198,8A,0.0328000000000088,0,-0.02646497353064703,,
037,1,330,336.5972,5A,0.0664999999999622,0,0.13983065146935308,,
037,1,330,337.7301,7B,0.1003999999999791,0,0.14048502646935307,,
037,1,330,338.0967,8A,0.0337999999999851,0,0.0070580264693531625,,
037,1,330,338.3304,8B,0.0335999999999785,0,0.10219702646935303,,
037,1,330,338.4304,5B,0.0323999999999955,0,0.13922252646935296,,
037,1,330,339.3639,5A,0.0662000000000375,0,0.29030029919662587,,
037,1,330,339.83,5B,0.0335000000000036,0,-0.10893897353064697,,
037,1,330,341.5958,5A,0.5668000000000006,0,0.18255008529288244,,
037,1,330,341.6291,7B,0.0330000000000154,0,0.230294526469353,,
037,1,330,344.2957,PB,1.3161000000000058,0,-0.2958796280761015,,
037,1,330,345.0602,5B,0.2637000000000284,0,-0.2582716957528692,,
037,1,330,345.0935,8B,0.0337000000000102,0,-0.15171697353064695,,
037,1,330,345.3271,6A,0.2006000000000085,0,-0.02705280686398026,,
037,1,330,345.3607,9A,0.0323999999999955,0,-0.3407504735306468,,
037,1,330,345.4929,6A,0.133199999999988,0,-0.194899348530647,,
037,1,330,345.5263,9A,0.0339999999999918,0,-0.294111973530647,,
037,1,330,345.7596,6A,0.2001000000000203,0,-0.2043138901973136,,
037,1,330,345.8264,9A,0.0330000000000154,0,-0.17900747353064683,,
037,1,330,346.0262,8B,0.0333999999999719,0,0.07975902646935285,,
037,1,330,347.3477,5A,0.1333999999999946,0,0.0825969110847377,,
037,1,330,347.6481,7A,0.1005000000000109,0,0.03341977646935307,,
037,1,330,347.8155,2A,0.0325000000000272,0,0.5142985264693529,,
037,1,330,349.5469,4B,0.0339000000000169,0,0.13909765980268635,,
037,1,330,350.0141,1B,0.066599999999994,0,0.14672177646935303,,
037,1,330,350.7129,1A,0.0994000000000028,0,-0.08981839019731364,,
037,1,330,351.0129,5B,0.0667000000000257,0,0.10788077646935301,,
037,1,330,351.0468,8A,0.0326000000000021,0,-0.04600447353064707,,
037,1,330,351.1133,5B,0.0668999999999755,0,0.007394276469352978,,
037,1,330,351.1797,9A,0.0330999999999903,0,0.36926402646935297,,
037,1,330,351.4791,6A,0.2659999999999627,0,0.06510665146935299,,
037,1,330,351.5125,9A,0.0339999999999918,0,-0.19174847353064695,,
037,1,330,351.7795,6A,0.2662000000000262,0,-0.054383098530646934,,
037,1,330,352.3121,9B,0.0334000000000287,0,-0.021830973530646964,,
037,1,330,353.0121,6A,0.1333000000000197,0,0.149140526469353,,
037,1,330,353.0789,9A,0.0330000000000154,0,0.11752452646935296,,
037,1,330,353.612,6A,0.3326999999999884,0,0.16345321877704538,,
037,1,330,353.9118,5B,0.0331999999999652,0,0.12755127646935305,,
037,1,330,354.6449,5A,0.1671000000000049,0,0.2412213264693531,,
037,1,330,358.0433,7A,0.2332000000000107,0,0.1977633598026864,,
037,1,330,358.5489,7B,0.2088999999999714,0,0.027436959802686338,,
037,1,330,359.9023,7A,0.1300999999999703,0,0.01410924705758834,,
