ID,condition,start_interval,start_transition,Node,AOI_duration,clicked,pupil_diameter,active_disruption,passive_disruption,number_clicked
012,C,330,340.0529,PB,1.2965000000000373,1,-0.8154384574759221,,,
012,C,330,340.6389,8B,0.0264999999999986,0,-0.5607961999192471,,,
012,C,330,340.885,9A,0.0668999999999755,0,-0.3730784499192472,,,
012,C,330,341.0514,6A,0.0999999999999659,0,-0.32865028325258044,,,
012,C,330,341.2183,9B,0.1668999999999982,0,-0.347157049919247,,,
012,C,330,341.4516,6B,0.0665000000000191,0,-0.33086707491924716,,,
012,C,330,341.8844,2B,0.03389999999996,0,-0.271080949919247,,,
012,C,330,342.3515,5B,0.4666000000000281,0,-0.19369048563353286,,,
012,C,330,342.4183,8B,0.0336000000000353,0,-0.12620644991924723,,,
012,C,330,343.118,5B,0.6332000000000448,0,-0.20185182491924714,,,
012,C,330,343.2179,7A,0.0658999999999991,0,-0.31120794991924694,,,
012,C,330,343.6173,4A,0.1327999999999747,0,-0.4908765749192471,,,
012,C,330,348.8222,PB,0.2685999999999922,0,-0.696364230941145,,,
012,C,330,349.1996,4B,0.1026999999999702,0,-0.6066029499192471,,,
012,C,330,349.3027,7A,0.1075000000000159,0,-0.6215451999192471,,,
012,C,330,349.4405,2B,0.0276000000000067,0,-0.398171449919247,,,
012,C,330,349.559,8A,0.1242000000000302,0,-0.44573344991924707,,,
012,C,330,349.5923,5A,0.032699999999977,0,-0.43449544991924705,,,
012,C,330,349.9245,9A,0.233099999999979,0,-0.4306883070621042,,,
012,C,330,349.9912,6A,0.0339000000000169,0,-0.3973474499192471,,,
012,C,330,350.1576,9B,0.1657999999999901,0,-0.43575574991924715,,,
012,C,330,350.2908,6A,0.133199999999988,0,-0.4105485749192471,,,
012,C,330,350.6577,6B,0.366800000000012,0,-0.319867131737429,,,
012,C,330,350.924,3A,0.2667999999999892,0,-0.2943080124192472,,,
012,C,330,351.5571,5B,0.4997000000000184,0,-0.17720351658591374,,,
012,C,330,351.8905,5A,0.3333999999999832,0,-0.08535819991924709,,,
012,C,330,352.7234,4A,0.033299999999997,0,0.1293716750807529,,,
012,C,330,352.8565,4B,0.033800000000042,0,-0.30715294991924713,,,
012,C,330,353.2234,7A,0.1662999999999783,0,-0.07501954991924711,,,
012,C,330,353.6234,7B,0.3996000000000208,0,-0.04731111658591377,,,
012,C,330,353.8568,4B,0.2334999999999922,0,-0.11971509277638989,,,
012,C,330,353.8897,7B,0.0333999999999719,0,-0.053033449919246856,,,
012,C,330,354.2569,2A,0.3666000000000053,0,0.0412418682625711,,,
012,C,330,354.4899,5A,0.2333000000000424,0,0.0406559072236099,,,
012,C,330,354.9226,7B,0.067700000000002,0,0.034809675080753055,,,
012,C,330,355.123,7A,0.1671999999999798,0,0.08574255008075285,,,
012,C,330,355.5558,7B,0.4327000000000112,0,0.04123205008075281,,,
012,C,330,355.5892,4B,0.0328999999999837,0,-0.009453949919247195,,,
012,C,330,355.6221,7A,0.0332000000000221,0,-0.026192949919247033,,,
012,C,330,355.7558,4B,0.1334999999999695,0,0.0940615500807529,,,
012,C,330,355.7888,7A,0.0334000000000287,0,0.10599405008075302,,,
012,C,330,355.922,4B,0.133199999999988,0,0.13216842508075277,,,
012,C,330,356.2891,4A,0.0335999999999785,0,0.14886343896964177,,,
012,C,330,356.9885,1B,0.066599999999994,0,-0.01755444991924712,,,
012,C,330,357.0887,4B,0.0666999999999689,0,-0.09034069991924687,,,
012,C,330,357.1217,7A,0.033800000000042,0,-0.0675674499192469,,,
012,C,330,357.4218,4B,0.2994999999999663,0,-0.06147383880813598,,,
012,C,330,357.7214,7B,0.2667000000000143,0,0.1408203000807529,,,
012,C,330,358.0211,2A,0.2332000000000107,0,0.18592483579503857,,,
012,C,330,358.5544,5A,0.266900000000021,0,0.12039436258075292,,,
012,C,330,358.788,5B,0.1996000000000322,0,0.1358068834140862,,,
012,C,330,359.1206,9A,0.300200000000018,0,0.03528971674741962,,,
012,C,330,359.7535,6A,0.1668999999999982,0,0.021624850080752944,,,
012,C,330,359.987,3A,0.3021999999999707,0,0.013354050080752891,,,
