ID,condition,start_interval,start_transition,Node,AOI_duration,pupil_diameter,active_disruption,passive_disruption,number_clicked
036,E,30,30.16421,4B,0.0223200000000005,,,,
036,E,30,30.4537,1A,0.0213399999999985,,,,
036,E,30,30.78618,7B,0.0225499999999989,,,,
036,E,30,31.44232,5A,0.6441100000000013,,,,
036,E,30,31.84236,5B,0.40043,,,,
036,E,30,32.20753,6A,0.1004100000000036,,,,
036,E,30,32.47496,6B,0.2668899999999965,,,,
036,E,30,33.34058,3A,0.0890600000000034,,,,
036,E,30,33.42938,6B,0.0234299999999976,,,,
036,E,30,33.45281,9A,0.0212700000000012,,,,
036,E,30,33.70826,5A,0.0320999999999997,,,,
036,E,30,33.8409,8A,0.1339100000000002,,,,
036,E,30,33.94034,5A,0.099349999999994,,,,
036,E,30,33.97362,8A,0.0332400000000063,,,,
036,E,30,34.00686,5A,0.0333899999999971,,,,
036,E,30,34.47401,2A,0.3675399999999982,,,,
036,E,30,36.29491,1A,0.0481300000000004,,,,
036,E,30,36.93927,4A,0.0411500000000017,,,,
036,E,30,37.42769,2A,0.0236300000000042,,,,
036,E,30,37.63874,7B,0.0669599999999945,,,,
036,E,30,37.67263,2A,0.0334199999999995,,,,
036,E,30,38.50581,2B,0.8333100000000044,,,,
036,E,30,39.63892,6A,0.099739999999997,,,,
036,E,30,39.67156,9B,0.0335000000000036,,,,
036,E,30,40.07156,3A,0.3887999999999962,,,,
036,E,30,40.09386,6A,0.0222100000000011,,,,
036,E,30,40.58237,5A,0.0346200000000038,,,,
036,E,30,41.28257,2A,0.4006199999999964,,,,
036,E,30,41.51559,2B,0.2011600000000015,,,,
036,E,30,42.24836,5B,0.7318700000000007,,,,
036,E,30,42.68118,6A,0.0668399999999991,,,,
036,E,30,43.64813,5B,0.5339499999999973,,,,
036,E,30,44.04723,7A,0.0334399999999988,,,,
036,E,30,44.14822,4A,0.03228,,,,
036,E,30,47.90243,4B,0.1663899999999998,,,,
036,E,30,48.23534,5B,0.300220000000003,,,,
036,E,30,48.2685,8B,0.0330199999999933,,,,
036,E,30,48.56911,5B,0.3004400000000018,,,,
036,E,30,48.93517,6A,0.06644,,,,
036,E,30,48.96839,9B,0.0333100000000001,,,,
036,E,30,49.2019,6A,0.2324899999999985,,,,
036,E,30,49.26772,6B,0.0334700000000012,,,,
036,E,30,49.60091,3A,0.332650000000001,,,,
036,E,30,50.1897,2B,0.2325000000000017,,,,
036,E,30,50.38863,2A,0.166019999999996,,,,
036,E,30,53.41071,PB,0.1561099999999982,,,,
036,E,30,54.03181,4A,0.2218699999999955,,,,
036,E,30,54.36493,1A,0.0665699999999986,,,,
036,E,30,56.58642,1B,0.0669499999999985,,,,
036,E,30,56.78749,4B,0.0337600000000009,,,,
036,E,30,57.10834,5A,0.0217900000000028,,,,
036,E,30,57.25372,8A,0.1573199999999985,,,,
036,E,30,57.52197,5B,0.2658600000000035,,,,
036,E,30,58.25365,3A,0.1326600000000013,,,,
036,E,30,58.28575,6B,0.033619999999999,,,,
036,E,30,58.31937,3A,0.0331100000000006,,,,
036,E,30,58.35248,9B,0.0333499999999986,,,,
036,E,30,58.75298,6A,0.2338200000000014,,,,
036,E,30,59.3079,5B,0.0664900000000017,,,,
036,E,30,59.40851,8B,0.0995999999999952,,,,
036,E,30,59.54004,5B,0.132870000000004,,,,
036,E,30,59.57356,8A,0.033299999999997,,,,
036,E,30,59.94041,2A,0.0998699999999956,,,,
