ID,condition,start_interval,start_transition,Node,AOI_duration,clicked,pupil_diameter,active_disruption,passive_disruption,number_clicked
020,C,360,360.4871,7B,0.0339000000000169,0,-0.2977927778338448,,,
020,C,360,360.6204,5A,0.0328000000000088,0,-0.05919387783384478,,,
020,C,360,361.0534,8B,0.0351999999999748,0,0.008634997166155345,,,
020,C,360,362.0885,5B,1.032100000000014,1,0.08424292861776819,,,
020,C,360,362.4865,2B,0.0346000000000117,0,0.1452752221661552,,,
020,C,360,362.588,5A,0.0984000000000264,0,0.22473912216615535,,,
020,C,360,362.6855,9A,0.0328000000000088,0,0.2819386221661553,,,
020,C,360,362.8852,6A,0.2001000000000203,0,0.23559045549948857,,,
020,C,360,363.1181,9B,0.0998000000000161,0,0.2729897888328219,,,
020,C,360,363.1512,6B,0.033299999999997,0,0.36803712216615536,,,
020,C,360,363.3853,3B,0.2342999999999619,0,0.2961340507375838,,,
020,C,360,363.6514,2A,0.0342999999999733,0,0.21617362216615543,,,
020,C,360,363.8178,4B,0.1318999999999732,0,0.3927139971661553,,,
020,C,360,363.851,4A,0.0337000000000102,0,0.46525812216615536,,,
020,C,360,364.2182,1B,0.2332000000000107,0,0.3573153721661554,,,
020,C,360,364.3842,1A,0.033299999999997,0,0.2685456221661553,,,
020,C,360,364.7177,4B,0.0330000000000154,0,0.2630741221661553,,,
020,C,360,364.9176,4A,0.1324999999999931,0,0.1894956221661553,,,
020,C,360,365.8832,1A,0.7653999999999996,1,0.23226426216615534,,,
020,C,360,372.2582,PB,6.176000000000045,1,-0.3345374854035658,,,
020,C,360,372.8463,4A,0.0503999999999678,0,-0.06167362783384478,,,
020,C,360,373.0929,4B,0.1323999999999614,0,0.03735469359472681,,,
020,C,360,376.9124,7A,0.0332000000000221,0,0.39440110398433714,,,
020,C,360,377.2118,7B,0.1329000000000064,0,0.9011955221661555,,,
020,C,360,377.5461,8A,0.1000000000000227,0,0.907356038832822,,,
020,C,360,378.1464,5B,0.6001999999999725,0,0.7838633443883776,,,
020,C,360,378.7785,9A,0.0330999999999903,0,0.9331167585297918,,,
020,C,360,379.3778,3B,0.3659999999999854,0,0.9452482585297916,,,
020,C,360,379.4445,6B,0.0328000000000088,0,0.9326421221661554,,,
020,C,360,383.1639,PB,1.6211999999999875,0,0.0202023018536553,,,
020,C,360,383.7192,4B,0.0276000000000067,0,0.021073684666155335,,,
020,C,360,383.7468,2A,0.0201999999999884,0,0.20866612216615543,,,
020,C,360,384.1765,5B,0.4165999999999599,0,0.2875262221661553,,,
020,C,360,384.3434,6A,0.1324999999999931,0,0.44078099716615515,,,
020,C,360,384.6427,9B,0.0997999999999592,0,0.4396220507375838,,,
020,C,360,384.8429,6B,0.2008000000000152,0,0.48825303883282195,,,
020,C,360,384.8766,9B,0.0337000000000102,0,0.10095412216615518,,,
020,C,360,385.1768,2A,0.0662000000000375,0,0.44046287216615543,,,
020,C,360,385.2092,4B,0.0337999999999851,0,0.48778762216615545,,,
020,C,360,385.4092,4A,0.1000999999999976,0,0.49443278883282177,,,
020,C,360,385.5091,4B,0.0664000000000442,0,0.49794587216615516,,,
020,C,360,389.9847,PB,5.174199999999985,0,-0.1333848025650275,,,
