ID,condition,start_interval,start_transition,Node,AOI_duration,clicked,pupil_diameter,active_disruption,passive_disruption
003,C,420,420.0725,6A,0.1675000000000182,0,0.25954556099658,,
003,C,420,420.1055,9A,0.0321999999999889,0,0.28724822766324687,,
003,C,420,420.2373,6A,0.133700000000033,0,0.2110552276632468,,
003,C,420,420.2714,3A,0.0328999999999837,0,0.18366372766324668,,
003,C,420,420.3043,6A,0.0335000000000036,0,0.2502377276632468,,
003,C,420,420.5368,3B,0.0996000000000094,0,0.4663373276632467,,
003,C,420,421.1704,9B,0.5328999999999837,0,0.3941073387743578,,
003,C,420,421.3046,9A,0.1342000000000212,0,0.42645572766324646,,
003,C,420,421.7371,4B,0.0670000000000072,0,0.34962589432991337,,
003,C,420,423.5647,PB,1.5161999999999694,0,-0.28901265514925323,,
003,C,420,423.9699,1B,0.0237000000000193,0,-0.001318772336753371,,
003,C,420,424.7574,2A,0.1330000000000382,0,-0.05611491817008659,,
003,C,420,428.6547,PB,3.233900000000005,0,-0.17481209826267916,,
003,C,420,429.1901,2A,0.2812999999999874,0,-0.1564312268822078,,
003,C,420,429.2557,7B,0.0654999999999859,0,-0.15420027233675326,,
003,C,420,429.2888,2B,0.0334000000000287,0,-0.05354177233675328,,
003,C,420,429.6888,5B,0.4001999999999839,0,-0.0535233140034199,,
003,C,420,430.0554,8B,0.3663000000000238,0,-0.03850354506402601,,
003,C,420,430.8879,5B,0.6333000000000197,0,0.24378880661061517,,
003,C,420,430.9214,2B,0.0332000000000221,0,0.14248022766324664,,
003,C,420,431.3099,2A,0.3832999999999629,0,0.10606643599658001,,
003,C,420,436.2824,PB,0.8299000000000092,0,-0.19329011872229543,,
003,C,420,437.2971,2B,0.2665000000000077,0,-0.031576772336753295,,
003,C,420,437.5975,5B,0.3006000000000313,0,0.0032742276632466982,,
003,C,420,437.6317,2B,0.0335999999999785,0,0.01773222766324678,,
003,C,420,437.9967,4A,0.0332000000000221,0,0.12190122766324674,,
003,C,420,438.4624,1B,0.1668000000000233,0,0.12969642766324668,,
003,C,420,438.629,1A,0.1329000000000064,0,0.08946360266324671,,
003,C,420,442.4612,1B,0.7991999999999848,0,0.2045744459731059,,
003,C,420,442.4942,4A,0.0340000000000486,0,0.20526222766324675,,
003,C,420,442.8278,5A,0.0339999999999918,0,0.177758227663247,,
003,C,420,443.3616,1B,0.3987000000000193,0,0.12008547766324673,,
003,C,420,443.394,4B,0.0335999999999785,0,0.15710572766324682,,
003,C,420,445.2276,2A,1.8332000000000332,0,0.24952547311779225,,
003,C,420,445.2608,7B,0.0330999999999903,0,0.30440622766324665,,
003,C,420,445.5604,2B,0.3004999999999995,0,0.26914161655213564,,
003,C,420,447.46,2A,0.8659999999999854,1,0.31246154584506497,,
003,C,420,447.6922,7B,0.0675999999999703,0,0.3405137276632466,,
003,C,420,447.7261,5A,0.0337000000000102,0,0.24954322766324655,,
003,C,420,447.8922,8A,0.1654000000000337,0,0.31219442766324673,,
003,C,420,448.4251,1B,0.3670000000000186,0,0.2501385458450649,,
003,C,420,448.6595,1A,0.2004000000000019,0,0.4142531443299134,,
003,C,420,448.8585,3A,0.0346999999999866,0,0.18610522766324689,,
003,C,420,449.0254,6A,0.165800000000047,0,0.35745362766324673,,
003,C,420,449.325,3A,0.2997999999999479,0,0.33114656099658,,
003,C,420,449.6251,6A,0.2995000000000232,0,0.4303152276632467,,
003,C,420,449.7912,6B,0.1331000000000131,0,0.45057035266324663,,
003,C,420,449.8242,9B,0.0335999999999785,0,0.3624967276632467,,
003,C,420,449.9908,9A,0.1659999999999968,0,0.3658688943299134,,
