ID,condition,start_interval,start_transition,Node,AOI_duration,clicked,pupil_diameter,active_disruption,passive_disruption
007,E,270,270.141,PB,0.5748000000000388,0,0.08401308520337751,,
007,E,270,270.7044,4B,0.0326000000000021,0,0.020863370917663104,,
007,E,270,270.737,2A,0.0336999999999534,0,0.08145587091766315,,
007,E,270,270.8039,7B,0.0334000000000287,0,0.19410387091766323,,
007,E,270,271.0705,5A,0.2302999999999997,0,0.11125315663194889,,
007,E,270,271.7704,7B,0.1999000000000137,0,-0.06093362908233684,,
007,E,270,272.1374,8A,0.3330000000000268,0,-0.13956677908233678,,
007,E,270,272.1702,8B,0.0336999999999534,0,-0.1734801290823369,,
007,E,270,272.4047,5B,0.2329000000000292,0,-0.1285407719394797,,
007,E,270,272.7038,7B,0.033299999999997,0,-0.09490496241567008,,
007,E,270,272.8706,2A,0.0327999999999519,0,-0.3273496290823368,,
007,E,270,273.2038,7B,0.1667999999999665,0,-0.15430096241567018,,
007,E,270,273.2702,2A,0.0348000000000183,0,-0.08683312908233676,,
007,E,270,273.5029,6A,0.0330999999999903,0,-0.24324362908233677,,
007,E,270,273.7025,9B,0.199799999999982,0,-0.13689971241567014,,
007,E,270,273.8023,6A,0.1003000000000042,0,-0.06947346241567016,,
007,E,270,273.8691,9B,0.0663000000000124,0,-0.025523379082336817,,
007,E,270,273.9692,6A,0.1003000000000042,0,-0.03065779574900344,,
007,E,270,274.0688,9B,0.1000000000000227,0,-0.1007387957490035,,
007,E,270,274.2358,6A,0.1661999999999466,0,-0.15743572908233677,,
007,E,270,277.1679,PB,2.388699999999972,0,-0.3771927829284906,,
007,E,270,278.0135,5A,0.2339000000000055,0,0.12263744234623461,,
007,E,270,278.179,5B,0.1662999999999783,0,0.009707570917663189,,
007,E,270,278.5461,9A,0.3336999999999648,0,0.030188870917663112,,
007,E,270,278.8117,5A,0.0668000000000006,0,0.2233283709176631,,
007,E,270,279.0122,4A,0.0328000000000088,0,0.21416937091766308,,
007,E,270,279.4781,2A,0.2331999999999539,0,0.2197214423462346,,
007,E,270,279.7778,1B,0.0996000000000094,0,0.0951228709176631,,
007,E,270,280.111,5B,0.0666999999999689,0,0.047352620917663235,,
007,E,270,280.2114,2B,0.1005999999999858,0,0.03702487091766319,,
007,E,270,280.8778,5B,0.6335000000000264,0,0.14002729197029476,,
007,E,270,280.9446,6A,0.0329000000000405,0,0.17432087091766313,,
007,E,270,281.4105,3B,0.29849999999999,0,0.1644188709176632,,
007,E,270,281.4438,6B,0.0337000000000102,0,0.12530237091766327,,
007,E,270,281.5434,5B,0.0335000000000036,0,0.35331437091766316,,
007,E,270,285.2471,PB,1.7397000000000276,1,-0.0784767676961982,,
007,E,270,285.9199,2B,0.0994000000000028,0,-0.09944446241567022,,
007,E,270,286.0197,5A,0.1007999999999924,0,0.12788070425099649,,
007,E,270,286.4195,5B,0.398900000000026,0,0.11721887091766318,,
007,E,270,286.5194,6A,0.1003999999999791,0,0.0353948709176631,,
007,E,270,286.553,9A,0.0332000000000221,0,0.015095870917663179,,
007,E,270,286.7856,6A,0.0996000000000094,0,-0.0008299290823368555,,
007,E,270,287.7523,7A,0.1333999999999946,0,0.09616162091766317,,
007,E,270,287.7856,5A,0.0330999999999903,0,0.040104870917663016,,
007,E,270,287.8522,8A,0.066599999999994,0,0.09918287091766309,,
007,E,270,288.0854,2B,0.2334000000000173,0,0.17533915663194888,,
007,E,270,288.1187,5A,0.0332000000000221,0,0.18455187091766323,,
007,E,270,288.2858,2B,0.1668999999999982,0,0.1857040709176631,,
007,E,270,295.4604,PB,1.845399999999984,0,-0.1614426003661206,,
007,E,270,296.0378,2B,0.0333999999999719,0,-0.23329462908233678,,
007,E,270,296.0712,5B,0.034400000000005,0,-0.18628212908233666,,
007,E,270,296.14,2B,0.0665000000000191,0,-0.14744112908233697,,
007,E,270,296.2376,5B,0.0991999999999961,0,-0.08736212908233683,,
007,E,270,296.2713,2B,0.0334000000000287,0,-0.07638862908233701,,
007,E,270,296.6039,4B,0.1332999999999629,0,-0.08693425408233674,,
007,E,270,297.5699,1B,0.0331999999999652,0,0.0618297555330478,,
007,E,270,297.6031,4A,0.0330000000000154,0,-0.023448129082336733,,
007,E,270,298.7694,1B,0.0668999999999755,1,0.06170606139385363,,
007,E,270,298.8361,2A,0.0329000000000405,0,0.2113998709176632,,
007,E,270,299.0035,5A,0.1710999999999671,0,0.22199717091766322,,
007,E,270,299.0401,2B,0.032100000000014,0,0.1696288709176632,,
007,E,270,299.1371,5B,0.0974999999999681,0,0.1538868709176632,,
007,E,270,299.4358,1B,0.1322999999999865,0,0.30461199591766314,,
007,E,270,299.4692,4B,0.0328999999999837,0,0.194615370917663,,
007,E,270,299.5021,7B,0.033800000000042,0,0.20166487091766316,,
007,E,270,299.8022,5A,0.1662000000000034,0,0.12598887091766325,,
007,E,270,299.8355,2B,0.0335000000000036,0,0.05912487091766305,,
007,E,270,299.869,5A,0.0331999999999652,0,0.13329037091766316,,
007,E,270,299.9022,2B,0.0335999999999785,0,0.09048137091766328,,
007,E,270,299.9358,5A,0.0333000000000538,0,-0.005259629082336792,,
007,E,270,299.9691,7A,0.0330999999999903,0,,,
