ID,condition,start_interval,start_transition,Source,Target,Weight,trans_duration,trans_amplitude,head_rotation,table_switched,row_switched,AOI_duration_Source,pupil Diameter_Source,active_disruption_Source,passive_disruption_Source,clicked_Source,AOI_duration_Target,pupil Diameter_Target,active_disruption_Target,passive_disruptionTarget,clicked_Target
039,C,180,180.0651,2B,5B,1,0.03299999999998704,,,,,,,,,,,,,,
039,C,180,180.0981,5B,2B,1,0.03340000000000032,,,,,,,,,,,,,,
039,C,180,180.1978,2B,5B,1,0.033799999999985175,,,,,,,,,,,,,,
039,C,180,180.3649,5B,9A,1,0.13299999999998136,,,,,,,,,,,,,,
039,C,180,180.4979,9A,6B,1,0.19960000000000377,,,,,,,,,,,,,,
039,C,180,180.931,6B,3A,1,0.03319999999999368,,,,,,,,,,,,,,
039,C,180,181.0657,3A,6B,1,0.03350000000000364,,,,,,,,,,,,,,
039,C,180,181.1639,6B,2B,1,0.2668999999999926,,,,,,,,,,,,,,
039,C,180,181.5974,2B,2A,1,0.03390000000001692,,,,,,,,,,,,,,
039,C,180,181.6313,2A,4B,1,0.066599999999994,,,,,,,,,,,,,,
039,C,180,182.3307,4B,7A,1,0.06589999999999918,,,,,,,,,,,,,,
039,C,180,182.3966,7A,PB,1,0.19929999999999382,,,,,,,,,,,,,,
039,C,180,186.7838,PB,1B,1,0.22299999999998477,,,,,,,,,,,,,,
039,C,180,187.0346,1B,4A,1,0.14929999999998245,,,,,,,,,,,,,,
039,C,180,187.2836,4A,4B,1,0.03360000000000696,,,,,,,,,,,,,,
039,C,180,187.4845,4B,7A,1,0.06569999999999254,,,,,,,,,,,,,,
039,C,180,187.6838,7A,2A,1,0.0332000000000221,,,,,,,,,,,,,,
039,C,180,187.717,2A,7B,1,0.03319999999999368,,,,,,,,,,,,,,
039,C,180,187.784,7B,2A,1,0.0332000000000221,,,,,,,,,,,,,,
039,C,180,187.85,2A,7B,1,0.03440000000000509,,,,,,,,,,,,,,
039,C,180,187.9837,7B,7A,1,0.03290000000001214,,,,,,,,,,,,,,
039,C,180,188.0166,7A,1B,1,0.033499999999975216,,,,,,,,,,,,,,
039,C,180,188.2831,1B,4A,1,0.033299999999997,,,,,,,,,,,,,,
039,C,180,188.3164,4A,2A,1,0.03350000000000364,,,,,,,,,,,,,,
039,C,180,188.5288,2A,5A,1,0.044900000000012597,,,,,,,,,,,,,,
039,C,180,189.0735,5A,2B,1,0.03300000000001546,,,,,,,,,,,,,,
039,C,180,189.1065,2B,5B,1,0.03340000000000032,,,,,,,,,,,,,,
039,C,180,189.1399,5B,2B,1,0.033499999999975216,,,,,,,,,,,,,,
039,C,180,189.4068,2B,8A,1,0.03309999999999036,,,,,,,,,,,,,,
039,C,180,189.7399,8A,2B,1,0.03319999999999368,,,,,,,,,,,,,,
039,C,180,190.3061,2B,5B,1,0.03310000000001878,,,,,,,,,,,,,,
039,C,180,190.5072,5B,9A,1,0.0987999999999829,,,,,,,,,,,,,,
039,C,180,190.6937,9A,6A,1,0.08830000000000382,,,,,,,,,,,,,,
039,C,180,190.9155,6A,6B,1,0.06669999999999732,,,,,,,,,,,,,,
039,C,180,191.0154,6B,3A,1,0.36660000000000537,,,,,,,,,,,,,,
039,C,180,191.382,3A,6B,1,0.03299999999998704,,,,,,,,,,,,,,
039,C,180,191.5816,6B,3B,1,0.06639999999998736,,,,,,,,,,,,,,
039,C,180,191.948,3B,9B,1,0.10030000000000427,,,,,,,,,,,,,,
039,C,180,192.148,9B,6A,1,0.03340000000000032,,,,,,,,,,,,,,
039,C,180,192.2482,6A,9B,1,0.03309999999999036,,,,,,,,,,,,,,
039,C,180,192.3147,9B,6B,1,0.06700000000000728,,,,,,,,,,,,,,
039,C,180,192.5481,6B,3A,1,0.033899999999988495,,,,,,,,,,,,,,
039,C,180,192.7487,3A,6A,1,0.03319999999999368,,,,,,,,,,,,,,
039,C,180,192.7819,6A,2B,1,0.06739999999999213,,,,,,,,,,,,,,
039,C,180,192.8493,2B,5B,1,0.03280000000000882,,,,,,,,,,,,,,
039,C,180,193.0817,5B,2B,1,0.03289999999998372,,,,,,,,,,,,,,
039,C,180,193.2488,2B,5A,1,0.03370000000001028,,,,,,,,,,,,,,
039,C,180,193.2825,5A,4B,1,0.09940000000000282,,,,,,,,,,,,,,
039,C,180,193.548,4B,1B,1,0.06749999999999545,,,,,,,,,,,,,,
039,C,180,193.814,1B,1A,1,0.03319999999999368,,,,,,,,,,,,,,
039,C,180,193.8472,1A,PB,1,0.2330000000000041,,,,,,,,,,,,,,
039,C,180,196.4345,PB,2B,1,0.7561999999999784,,,,,,,,,,,,,,
039,C,180,197.2578,2B,8A,1,0.033299999999997,,,,,,,,,,,,,,
039,C,180,197.3574,8A,5B,1,0.033999999999991815,,,,,,,,,,,,,,
039,C,180,197.6574,5B,9A,1,0.06720000000001392,,,,,,,,,,,,,,
039,C,180,197.7246,9A,6A,1,0.032299999999992224,,,,,,,,,,,,,,
039,C,180,198.124,6A,4B,1,0.4660000000000082,,,,,,,,,,,,,,
039,C,180,198.6571,4B,7A,1,0.09979999999998768,,,,,,,,,,,,,,
039,C,180,198.7569,7A,4A,1,0.03350000000000364,,,,,,,,,,,,,,
039,C,180,198.7904,4A,PB,1,0.28770000000000095,,,,,,,,,,,,,,
039,C,180,200.6995,PB,2A,1,0.41210000000000946,,,,,,,,,,,,,,
039,C,180,201.278,2A,7B,1,0.06669999999999732,,,,,,,,,,,,,,
039,C,180,201.4112,7B,7A,1,0.43309999999999604,,,,,,,,,,,,,,
039,C,180,201.9772,7A,5A,1,0.06669999999999732,,,,,,,,,,,,,,
039,C,180,202.8437,5A,2B,1,0.03309999999999036,,,,,,,,,,,,,,
039,C,180,202.9771,2B,2A,1,0.33339999999998327,,,,,,,,,,,,,,
039,C,180,203.5768,2A,1B,1,0.0665000000000191,,,,,,,,,,,,,,
039,C,180,206.3549,1B,2A,1,0.06640000000001578,,,,,,,,,,,,,,
039,C,180,208.2204,2A,5A,1,0.03340000000000032,,,,,,,,,,,,,,
039,C,180,208.3544,5A,5B,1,0.0327000000000055,,,,,,,,,,,,,,
039,C,180,208.3871,5B,2B,1,0.03360000000000696,,,,,,,,,,,,,,
039,C,180,208.4537,2B,5B,1,0.032299999999992224,,,,,,,,,,,,,,
039,C,180,208.8866,5B,2B,1,0.03280000000000882,,,,,,,,,,,,,,
039,C,180,208.9194,2B,PB,1,0.36539999999999395,,,,,,,,,,,,,,
